id_gen,name,alias,fuel,tech,type,capacity,forate,fullout,partialout,derate,mttrfull,mttrpart,id_bus,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency,down_time,up_time,last_state,last_state_period,last_state_output,start_up_cost,shut_down_cost,start_up_time,shut_down_time
11,Stanwell,STAN-1,Coal,Black Coal QLD,Steam Sub Critical,365.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,2,140,365.0,4.0,4.0,0,1,34.705101695451546,3.27319817035575,5.023707707338957,0.06348,863.4612605952427,0.3,9.06801007556675,36.5,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,8,0.0,0.0,0.0,50669.448475359255,0.0,0.0,0.0
12,Tarong,TARONG#1,Coal,Black Coal QLD,Steam Sub Critical,350.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,140,350.0,4.0,4.0,0,1,32.98307857480292,3.0366983358828916,5.023707707338957,0.06348,886.5997945655309,0.3,9.207161125319693,35.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,8,0.0,0.0,0.0,46176.31000472408,0.0,0.0,0.0
13,Tarong North,TNPS1,Coal,Black Coal QLD,Steam Super Critical,450.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,180,450.0,4.0,4.0,0,1,31.302827921710133,3.0366983358828916,5.023707707338957,0.06348,886.5997945655309,0.3,8.653846153846153,45.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,0.0,8,0.0,0.0,0.0,56345.09025907824,0.0,0.0,0.0
14,Vales Point B,VP5,Coal,Black Coal NSW,Steam Sub Critical,660.0,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,7,250,660.0,6.0,6.0,0,1,42.56977538948819,3.871756400473145,5.101165062328734,0.0645,944.7032806579716,0.3,9.677419354838708,66.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,8,0.0,0.0,0.0,112384.20702824883,0.0,0.0,0.0
15,Yallourn W,YWPS1,Coal,Brown Coal,Steam Sub Critical,362.5,0.82760396,0.0775,0.1156,0.1791,90.05,12.2,9,200,362.5,3.0,3.0,0,1,15.234673536651798,0.7518239077839793,4.784611497955559,0.16363999999999998,1286.6018670776189,0.3,13.8996138996139,36.25,0.0,4.0,0,1,1,0,0.85,-38.177015,146.342783,4,1,0.0,16,0.0,0.0,0.0,22090.276628145108,0.0,0.0,0.0
16,Angaston,ANGAST1,Diesel,Diesel,Reciprocating Engine,36.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,7.2,36.0,9999.0,9999.0,0,1,536.0094536404338,40.9133354374554,13.34086749834906,0.01804,685.7579572019421,0.6,12.7750177430802,3.6,0.0,4.0,0,1,1,0,0.85,-34.5035,139.0245,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Lonsdale,LONSDALE,Diesel,Diesel,Reciprocating Engine,20.7,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,4.14,20.7,9999.0,9999.0,0,1,336.34088410983907,40.9133354374554,13.34086749834906,0.01804,657.9846285226301,0.6,7.894736842105263,2.07,0.0,4.0,0,1,1,0,0.85,-35.1097,138.491,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Mt Stuart,MSTUART1,Diesel,Diesel,Reciprocating Engine,141.16666666666666,0.9020784,0.0958,0.0032,0.337,150.2,189.52,1,28.23,141.16666666666666,9999.0,9999.0,0,1,498.66427056751,40.9133354374554,12.565235667049695,0.01808,1001.6305644669512,0.6,11.881188118811883,14.116666666666667,0.0,4.0,0,1,1,0,0.85,-19.337998,146.851171,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Port Lincoln GT,POR01,Diesel,Diesel,Reciprocating Engine,36.75,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,7.35,36.75,9999.0,9999.0,0,1,536.7218462536669,40.9133354374554,12.565235667049695,0.01808,1334.5888261142497,0.6,12.81138790035587,3.6750000000000003,0.0,4.0,0,1,1,0,0.85,-34.70019,135.804728,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Port Stanvac 1,PTSTAN1,Diesel,Diesel,Reciprocating Engine,46.8,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,9.36,46.8,9999.0,9999.0,0,1,336.34088410983907,40.9133354374554,13.34086749834906,0.01804,657.9846285226301,0.6,7.894736842105263,4.68,0.0,4.0,0,1,1,0,0.85,-35.1104,138.49146,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Snapper Point Power Station,SNAPPER1,Diesel,Diesel,Reciprocating Engine,30.8,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,6.16,30.8,9999.0,9999.0,0,1,160.88571331119292,14.529002441629405,12.83177896958382,0.013470000000000001,541.6007456765004,0.6,10.190233977619531,3.08,0.0,4.0,0,1,1,0,0.85,-34.765,138.5053,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Snuggery,SNUG1,Diesel,Diesel,Reciprocating Engine,21.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,12,4.2,21.0,9999.0,9999.0,0,1,562.1473534836148,40.9133354374554,12.565235667049695,0.01808,1106.8763326226012,0.6,13.432835820895521,2.1,0.0,4.0,0,1,1,0,0.85,-37.66455,140.415558,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Barron Gorge,BARRON-1,Hydro,Run-of-River,Vertical Francis,35.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,1,7.0,35.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,3.5,0.0,2.5,0,1,1,0,0.85,-16.85086,145.6469,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Bastyan,BASTYAN,Hydro,Reservoir,Francis,79.9,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,15.98,79.9,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,7.990000000000001,0.0,2.5,0,1,1,0,0.85,-41.736,145.5321,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Blowering,BLOWERNG,Hydro,Reservoir,Francis,80.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,16.0,80.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,8.0,0.0,2.5,0,1,1,0,0.85,-35.3986,148.246272,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bogong / MacKay,MCKAY1,Hydro,Run-of-River,Francis / Pelton,25.001666666666665,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,5.0,25.001666666666665,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.500166666666667,0.0,2.5,0,1,1,0,0.85,-36.8067,147.2287,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Catagunya / Liapootah / Wayatinah,LI_WY_CA,Hydro,Reservoir,Francis,22.0875,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,4.42,22.0875,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.2087499999999998,0.0,2.5,0,1,1,0,0.85,-42.4522,146.5977,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cethana,CETHANA,Hydro,Reservoir,Francis,85.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,17.0,85.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,8.5,0.0,2.5,0,1,1,0,0.85,-41.481,146.1338,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Dartmouth,DARTM1,Hydro,Reservoir,Francis,23.125,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,4.62,23.125,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.3125,0.0,2.5,0,1,1,0,0.85,-36.558,147.5236,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Devils gate,DEVILS_G,Hydro,Reservoir,Francis,60.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,12.0,60.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,6.0,0.0,2.5,0,1,1,0,0.85,-41.3505,146.2633,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Eildon,EILDON1,Hydro,Reservoir,Francis,67.5,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,13.5,67.5,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,6.75,0.0,2.5,0,1,1,0,0.85,-37.22186,145.92137,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Fisher,FISHER,Hydro,Reservoir,Pelton,43.2,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,8.64,43.2,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,4.32,0.0,2.5,0,1,1,0,0.85,-41.6732,146.2686,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Gordon,GORDON,Hydro,Reservoir,Francis,144.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,28.8,144.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,14.4,0.0,2.5,0,1,1,0,0.85,-42.7405,145.9819,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Guthega,GUTHEGA,Hydro,Reservoir,Francis,30.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,6.0,30.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,3.0,0.0,2.5,0,1,1,0,0.85,-36.35,148.41353,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Hume Dam NSW,HUMENSW,Hydro,Reservoir,Kaplan,29.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,5.8,29.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.9000000000000004,0.0,2.5,0,1,1,0,0.85,-36.1067,147.0327,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Hume Dam VIC,HUMEV,Hydro,Reservoir,Kaplan,29.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,5.8,29.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.9000000000000004,0.0,2.5,0,1,1,0,0.85,-36.1067,147.0327,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,John Butters,JBUTTERS,Hydro,Reservoir,Francis,144.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,28.8,144.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,14.4,0.0,2.5,0,1,1,0,0.85,-42.1548,145.5344,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Kareeya,KAREEYA1,Hydro,Run-of-River,Pelton,21.6,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,1,4.32,21.6,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.16,0.0,2.5,0,1,1,0,0.85,-17.76716,145.5777,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Lake Echo,LK_ECHO,Hydro,Reservoir,Francis,32.4,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,6.48,32.4,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,3.24,0.0,2.5,0,1,1,0,0.85,-42.2536,146.6206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Lemonthyme / Wilmot,LEM_WIL,Hydro,Reservoir,Francis,40.8,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,8.16,40.8,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,4.08,0.0,2.5,0,1,1,0,0.85,-41.6038,146.139,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Mackintosh,MACKNTSH,Hydro,Reservoir,Francis,79.9,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,15.98,79.9,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,7.990000000000001,0.0,2.5,0,1,1,0,0.85,-41.6994,145.6472,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Meadowbank,MEADOWBK,Hydro,Reservoir,Francis,40.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,8.0,40.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,4.0,0.0,2.5,0,1,1,0,0.85,-42.6111,146.8457,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Murray 1,MURRAY1,Hydro,Reservoir,Francis,95.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,19.0,95.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,9.5,0.0,2.5,0,1,1,0,0.85,-36.2468,148.1902,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Murray 2,MURRAY2,Hydro,Reservoir,Francis,138.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,27.6,138.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,13.8,0.0,2.5,0,1,1,0,0.85,-36.2425,148.1364,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Poatina,POAT110,Hydro,Reservoir,Nozzle-spear Pelton,50.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,10.0,50.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,5.0,0.0,2.5,0,1,1,0,0.85,-41.8115,146.9192,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Reece,REECE1,Hydro,Reservoir,Francis,115.6,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,23.12,115.6,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,11.56,0.0,2.5,0,1,1,0,0.85,-41.7242,145.1354,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Tarraleah,TARRALEA,Hydro,Reservoir,Pelton,15.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,3.0,15.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,1.5,0.0,2.5,0,1,1,0,0.85,-42.3012,146.457,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Trevallyn,TREVALLN,Hydro,Reservoir,Francis,23.25,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,4.65,23.25,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.325,0.0,2.5,0,1,1,0,0.85,-41.4227,147.1118,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tribute,TRIBUTE,Hydro,Reservoir,Francis,82.8,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,16.56,82.8,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,8.28,0.0,2.5,0,1,1,0,0.85,-41.8175,145.6502,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Tungatinah,TUNGATIN,Hydro,Reservoir,Francis,25.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,5.0,25.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,2.5,0.0,2.5,0,1,1,0,0.85,-42.2967,146.4565,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Upper Tumut,UPPTUMUT,Hydro,Reservoir,Francis,77.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,15.4,77.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,7.7,0.0,2.5,0,1,1,0,0.85,-35.94096,148.3638,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,West Kiewa,WKIEWA1,Hydro,Reservoir,Francis,17.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,3.4,17.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,0.06951,0.0,0.6,0.0,1.7000000000000002,0.0,2.5,0,1,1,0,0.85,-36.7601,147.1861,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Kogan Gas,Kogan Gas,Hydrogen,Hydrogen-based gas turbines,Hydrogen-based gas turbines,200.0,0.98,0.02,0.0,0.0,22,0.0,4,0.0,200.0,22.0,22.0,0,1,201.6554580425884,12.658966827247516,40.6334,0.0695045,580.9846703741154,0.4,12.72,20.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,SA Hydrogen Turbine,SA Hydrogen Turbine,Hydrogen,Hydrogen-based gas turbines,Hydrogen-based gas turbines,200.0,0.98,0.02,0.0,0.0,22,0.0,11,0.0,200.0,22.0,22.0,0,1,261.53621794784203,17.366573738037893,40.6334,0.0695045,580.9846703741154,0.4,12.72,20.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Bairnsdale,BDL01,Natural Gas,OCGT,OCGT,47.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,9,15.51,47.0,9999.0,9999.0,0,1,166.77812039419808,14.693060961503303,12.565235667049695,0.01808,537.0489213605174,0.6,10.495626822157435,4.7,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Barcaldine Power Station,BARCALDN,Natural Gas,OCGT,OCGT,37.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,2,12.21,37.0,9999.0,9999.0,0,1,186.02015520693874,13.635483952719056,12.565235667049695,0.01808,793.2628797886395,0.6,12.7208480565371,3.7,0.0,4.0,0,1,1,0,0.85,-23.55245,145.314186,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Barker Inlet Power Station,BARKIPS1,Natural Gas,OCGT,OCGT,210.0,0.91781888,0.0721,0.0112,0.0999,44.08,106.48,11,69.3,210.0,9999.0,9999.0,0,1,123.20134256076463,13.91566017457264,13.34086749834906,0.01804,567.507343915481,0.6,7.894736842105263,21.0,0.0,4.0,0,1,1,0,0.85,-34.804443,138.525566,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Bell Bay Three,BBTHREE1,Natural Gas,OCGT,OCGT,40.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,10,13.2,40.0,9999.0,9999.0,0,1,196.6863291625179,15.292279709762497,12.565235667049695,0.01808,618.7694024904949,0.6,12.040133779264215,4.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Bolivar Power Station,BOLIVPS1,Natural Gas,OCGT,OCGT,123.2,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,40.66,123.2,9999.0,9999.0,0,1,162.50731813675267,14.688472931027366,12.83177896958382,0.013470000000000001,541.6007456765004,0.6,10.19,12.32,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Braemar,BRAEMAR1,Natural Gas,OCGT,OCGT,188.0,0.91781888,0.0721,0.0112,0.0999,44.08,106.48,4,62.04,188.0,9999.0,9999.0,0,1,174.84526113593648,13.658568810297968,12.565235667049695,0.01808,616.5275751175529,0.6,11.881188118811883,18.8,0.0,4.0,0,1,1,0,0.85,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Braemar 2 Power Station,BRAEMAR5,Natural Gas,OCGT,OCGT,173.0,0.91781888,0.0721,0.0112,0.0999,44.08,106.48,4,57.09,173.0,9999.0,9999.0,0,1,174.84526113593648,13.658568810297968,12.565235667049695,0.01808,616.5275751175529,0.6,11.881188118811883,17.3,0.0,4.0,0,1,1,0,0.85,-27.1109,150.9053,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Colongra,CG1,Natural Gas,OCGT,OCGT,181.0,0.91781888,0.0721,0.0112,0.0999,44.08,106.48,7,59.73,181.0,9999.0,9999.0,0,1,183.45916879923809,15.33298344491579,12.565235667049695,0.01808,625.4489256220705,0.6,11.145510835913313,18.1,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Condamine A,CPSA,Natural Gas,CCGT,CCGT,48.13333333333333,0.93552486,0.0504,0.0166,0.1521,61.19,40.35,4,20.0,48.13333333333333,1.0,1.0,0,1,93.99518345703369,11.6914310039724,8.794471687194328,0.01253,448.7800299499554,0.4,7.28744939271255,4.8133333333333335,0.0,4.0,0,1,1,0,0.85,0.0,0.0,3,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Darling Downs,DDPS1,Natural Gas,CCGT,CCGT,161.125,0.93552486,0.0504,0.0166,0.1521,61.19,40.35,4,58.3,161.125,2.0,2.0,0,1,95.04273319190877,11.6914310039724,8.794471687194328,0.01253,420.66783129225746,0.4,7.3770491803278695,16.1125,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
